tamanho,avl,rb,b1,b5,b10
200,7099,3592,32312,3548,4685
400,8827,4066,76117,4174,5623
600,9501,4219,117673,4380,5985
800,9776,4275,158691,4585,5875
1000,10158,4413,199346,4646,6082
1200,10338,4431,239928,4600,6323
1400,10547,4496,280497,4665,6216
1600,10705,4486,320906,4839,6279
1800,10854,4582,361157,4887,6544
2000,10919,4572,401215,4965,6636
2200,11076,4659,441666,5001,6911
2400,11174,4648,481876,5050,6870
2600,11213,4670,522233,5055,6876
2800,11425,4729,562412,5130,7039
3000,11456,4696,602479,5206,6941
3200,11535,4739,642864,5245,7177
3400,11589,4748,682948,5175,7326
3600,11732,4741,722928,5166,7428
3800,11724,4817,763263,5218,7450
4000,11820,4772,803513,5221,7349
4200,11868,4823,843688,5322,7159
4400,11998,4844,883678,5296,7114
4600,11992,4853,923736,5307,7153
4800,12086,4898,963909,5361,7056
5000,12173,4920,1003985,5425,7264
5200,12151,4929,1044101,5350,7303
5400,12210,4932,1084139,5406,7305
5600,12309,4991,1124420,5469,7350
5800,12322,4952,1164427,5420,7322
6000,12301,4957,1204536,5474,7460
6200,12377,4947,1244677,5441,7554
6400,12323,4922,1284715,5410,7604
6600,12389,4984,1324687,5382,7536
6800,12460,4981,1364750,5462,7713
7000,12439,4963,1405109,5355,7706
7200,12560,4991,1445097,5516,7621
7400,12585,4996,1485104,5441,7686
7600,12561,5021,1525119,5470,7509
7800,12607,5082,1565185,5465,7646
8000,12624,5030,1605026,5435,7457
8200,12691,5034,1645494,5507,7266
8400,12608,5037,1685369,5535,7377
8600,12728,4989,1725200,5494,7326
8800,12710,4996,1765578,5477,7301
9000,12853,5018,1805472,5504,7362
9200,12718,5065,1845612,5625,7366
9400,12831,5074,1885785,5571,7567
9600,12892,5126,1925756,5675,7372
9800,12963,5146,1965805,5668,7371
10000,12908,5016,2005697,5572,7428
