tamanho,avl,rb,b1,b5,b10
200,9,10,219,12,16
400,10,11,417,12,16
600,10,11,622,16,25
800,11,11,825,16,19
1000,11,11,1027,19,31
1200,12,13,1225,15,21
1400,11,12,1424,21,17
1600,12,14,1627,17,21
1800,13,14,1826,18,23
2000,12,13,2032,20,23
2200,13,12,2230,17,23
2400,12,13,2430,20,24
2600,13,13,2630,21,26
2800,14,14,2827,20,22
3000,13,14,3030,21,26
3200,13,13,3227,20,31
3400,13,14,3429,24,28
3600,13,14,3632,20,28
3800,14,15,3833,23,38
4000,14,13,4032,19,25
4200,13,15,4229,20,28
4400,14,15,4430,19,25
4600,14,14,4632,21,26
4800,14,15,4832,21,26
5000,14,14,5027,21,29
5200,14,15,5231,19,32
5400,13,15,5432,22,27
5600,14,15,5634,24,32
5800,14,15,5831,19,24
6000,15,16,6033,18,24
6200,15,15,6230,23,38
6400,15,16,6432,21,31
6600,14,14,6633,19,26
6800,14,15,6834,18,24
7000,14,16,7037,19,27
7200,14,16,7232,21,27
7400,14,16,7432,21,32
7600,15,15,7630,22,25
7800,14,15,7834,16,29
8000,14,14,8031,19,31
8200,15,16,8235,22,25
8400,15,16,8435,22,21
8600,14,16,8631,22,35
8800,15,16,8834,22,27
9000,15,15,9033,20,29
9200,15,16,9232,20,29
9400,14,16,9436,23,33
9600,15,16,9634,22,30
9800,15,16,9838,24,27
10000,15,17,10040,26,27
