tamanho,avl,rb,b1,b5,b10
200,6200,3650,15780,2736,4323
400,14022,7658,35849,6580,10984
600,22439,11948,60497,10602,12217
800,31151,16102,84426,14186,18030
1000,40385,20453,109968,15340,24480
1200,49929,24953,137715,18488,27683
1400,59190,29427,164110,23872,36364
1600,69029,34065,191475,28756,42490
1800,78906,38658,218896,30168,50991
2000,88962,43114,247224,31105,57566
2200,98924,47619,272982,35703,60400
2400,109086,52294,307266,43320,64527
2600,119671,56913,333102,49014,72137
2800,130118,61784,363062,54745,82901
3000,140725,66323,395946,58084,90712
3200,151122,71120,424474,63844,100346
3400,161798,75903,454661,67139,108225
3600,172561,80618,487284,73757,119525
3800,183323,85539,518514,79195,125648
4000,194288,90293,547391,81172,136683
4200,205071,95044,578082,83675,144440
4400,216054,100108,610547,86910,145211
4600,227094,104857,643220,90053,146304
4800,238283,109783,674005,91824,156593
5000,249437,114590,710753,94022,159123
5200,260562,119566,733985,99612,171243
5400,271728,124198,763706,105853,178334
5600,283046,129134,801877,97480,184411
5800,294401,134174,845449,100323,192289
6000,305740,139098,872000,103368,203445
6200,316994,143982,897002,118752,203571
6400,328553,148956,934908,111543,213865
6600,339826,154042,966854,109857,218453
6800,351326,158776,1017868,94966,224612
7000,362854,164155,1046188,98144,221354
7200,374435,168976,1077259,113941,233392
7400,385961,174015,1110367,114873,213780
7600,397655,178972,1142430,117423,227282
7800,409222,184164,1173717,125039,226317
8000,420945,189144,1200218,130988,211947
8200,432406,194044,1231893,137980,202208
8400,444550,199125,1272064,138460,220816
8600,456079,204080,1301375,144314,223127
8800,468148,208994,1340517,153558,236464
9000,479716,214192,1370933,160590,245779
9200,491752,219288,1404867,164034,247879
9400,503253,224263,1444874,168364,253075
9600,515243,229307,1475069,177851,263572
9800,527077,234237,1520963,177601,275744
10000,539010,239243,1562085,179773,281627
