tamanho,avl,rb,b1,b5,b10
200,2538,344,3662,2171,4051
400,5908,689,8219,5452,10143
600,9538,1039,14087,9364,11731
800,13382,1391,19743,10556,17076
1000,17348,1739,25320,11190,23245
1200,21483,2091,30996,16409,25511
1400,25710,2441,37732,20098,32803
1600,30014,2786,43849,24962,39849
1800,34376,3135,50161,26063,46281
2000,38805,3486,56760,26946,53346
2200,43278,3832,65648,31759,55904
2400,47842,4185,71388,37337,61953
2600,52407,4524,77765,43335,69426
2800,57051,4872,85435,47960,76510
3000,61710,5235,90728,50645,85887
3200,66454,5586,99727,53599,91460
3400,71181,5927,107941,60887,98964
3600,75989,6285,114559,64059,109974
3800,80800,6625,121662,66575,118528
4000,85651,6971,126401,69018,126899
4200,90584,7309,137612,71869,130359
4400,95452,7666,148671,76285,135586
4600,100432,8008,158389,78949,140783
4800,105396,8351,163624,72284,146353
5000,110392,8696,175336,76376,155110
5200,115370,9060,183318,76691,163208
5400,120392,9412,187334,82473,171980
5600,125458,9749,194840,72876,176469
5800,130568,10113,205129,70186,181165
6000,135644,10460,213982,74627,188783
6200,140812,10825,221778,80967,195317
6400,145889,11172,231683,91585,203505
6600,151026,11516,236365,83887,193512
6800,156212,11872,244456,94823,203806
7000,161366,12201,253976,95360,201426
7200,166632,12557,258552,100394,205428
7400,171841,12901,269673,99284,216871
7600,177070,13259,277145,104763,219455
7800,182320,13597,300580,111559,193497
8000,187538,13936,309076,115074,187535
8200,192824,14299,308997,125279,194071
8400,198168,14644,325911,128009,195793
8600,203506,14990,325913,132984,214353
8800,208849,15339,321568,138643,222294
9000,214245,15690,337251,143423,229455
9200,219588,16033,356040,143080,236142
9400,224954,16389,362799,145263,244865
9600,230285,16736,369098,150603,246556
9800,235576,17091,384298,158645,260889
10000,240953,17433,393993,161347,263514
